parents,parents_beaten,beaten,p,e,t
2+3 (0.86:0.14),6 & 6,1,[ 0.  0.  0.  0. 71.  0.  0.  0.],[50. 50. 50. 80.  0. 80. 90. 60.],[398 328 456 314 346 161  33 324]
2+3 (0.87:0.13),6 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[20. 50. 50. 80.  0. 80. 90. 60.],[377 318 456 319 294 178  33 362]
2+3 (0.88:0.12),6 & 6,1,[ 0.  0.  0.  0. 69.  0.  0.  0.],[40. 40. 50. 80.  0. 80. 90. 80.],[398 339 456 319 294 225  33 293]
2+3 (0.89:0.11),6 & 6,1,[ 0.  0.  0.  0. 69.  0.  0.  0.],[70. 30. 30. 10.  0. 70. 90. 80.],[ 378  338  457 1291  306  257   33  271]
2+3 (0.90:0.10),6 & 6,1,[ 0.  0.  0.  0. 70.  0.  0.  0.],[50. 70. 20. 50.  0. 70. 90. 60.],[ 385  336  529 1010  268  280   33  313]
2+3 (0.91:0.09),6 & 6,1,[ 0.  0.  0.  0. 71.  0.  0.  0.],[70. 70. 50. 80.  0. 60. 90. 70.],[377 338 529 264 268 374  33 348]
2+3 (0.92:0.08),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 60. 20. 30.  0. 60. 90. 80.],[ 377  343  530 1058  306  343   33  296]
2+3 (0.93:0.07),6 & 6,1,[ 0.  0.  0.  0. 57.  0.  0.  0.],[70. 40. 30. 10.  0. 60. 70. 80.],[377 326 529 998 320 353 206 295]
2+3 (0.94:0.06),6 & 6,2,[ 0.  0.  0.  0. 59.  0.  0. 24.],[70. 40. 10. 30.  0. 60. 60.  0.],[375 366 530 922 306 335 203 580]
2+3 (0.95:0.05),6 & 6,4,[ 0.  0. 38. 30. 71.  0.  0. 62.],[70. 50.  0.  0.  0. 70. 30.  0.],[375 369 474 984 293 394 205 331]
2+3 (0.96:0.04),6 & 6,4,[ 0.  0. 30. 27. 61.  0.  0. 62.],[70. 10.  0.  0.  0. 60. 30.  0.],[375 388 474 906 294 361 205 331]
2+3 (0.97:0.03),6 & 6,4,[ 0.  0. 30. 16. 75.  0.  0. 60.],[70. 30.  0.  0.  0. 60. 20.  0.],[ 375  386  474 1029  268  359  254  331]
2+3 (0.98:0.02),6 & 6,5,[ 0.  0. 30.  3. 68.  0. 91. 60.],[70. 10.  0.  0.  0. 50.  0.  0.],[375 388 474 964 294 359 137 331]
2+3 (0.99:0.01),6 & 6,5,[ 0. 74. 30.  0. 59.  0. 91. 59.],[70.  0.  0. 30.  0. 50.  0.  0.],[365 258 474 842 346 378 137 331]
2+4 (0.01:0.99),6 & 7,2,[ 0. 54.  0.  0. 63.  0.  0.  0.],[70.  0. 10. 60.  0. 30. 10. 10.],[308 166 288 368 250 348 213 513]
2+4 (0.02:0.98),6 & 7,4,[ 0. 28.  0.  0. 67.  0.  6. 13.],[70.  0. 30. 60.  0. 20.  0.  0.],[308 238 306 367 300 349 210 426]
2+4 (0.03:0.97),6 & 7,5,[ 0. 28. 24.  0. 71.  0.  7. 43.],[70.  0.  0. 60.  0. 20.  0.  0.],[308 239 275 367 300 348 210 357]
2+4 (0.04:0.96),6 & 7,4,[ 0. 28.  0.  0. 69.  0.  8. 43.],[70.  0. 10. 60.  0. 20.  0.  0.],[308 239 323 367 275 349 210 357]
2+4 (0.05:0.95),6 & 7,4,[ 0. 28.  0.  0. 60.  0.  9. 43.],[70.  0. 20. 60.  0. 10.  0.  0.],[308 239 326 361 301 355 210 357]
2+4 (0.06:0.94),6 & 7,5,[ 0. 28.  0.  0. 78.  0. 10. 44.],[70.  0.  0. 60.  0. 30.  0.  0.],[308 239 327 357 224 353 210 357]
2+4 (0.07:0.93),6 & 7,4,[ 0. 28.  0.  0. 77.  0.  1. 43.],[70.  0. 30. 60.  0. 30.  0.  0.],[308 227 327 357 275 353 223 345]
2+4 (0.08:0.92),6 & 7,4,[ 0. 28.  0.  0. 73.  0.  2. 44.],[70.  0. 30. 60.  0. 30.  0.  0.],[308 227 327 355 328 352 223 345]
2+4 (0.09:0.91),6 & 7,4,[ 0. 28.  0.  0. 75.  0.  4. 44.],[70.  0. 30. 60.  0. 30.  0.  0.],[308 227 329 355 250 356 223 345]
2+4 (0.10:0.90),6 & 7,4,[ 0. 28.  0.  0. 77.  0.  4. 44.],[70.  0. 20. 60.  0. 30.  0.  0.],[308 227 328 355 237 360 223 345]
2+4 (0.11:0.89),6 & 7,4,[ 0. 28.  0.  0. 71.  0.  0. 47.],[70.  0. 40. 60.  0. 30.  0.  0.],[308 227 331 355 265 360 223 346]
2+4 (0.12:0.88),6 & 7,3,[ 0. 28.  0.  0. 74.  0.  0. 47.],[70.  0. 60. 60.  0. 20. 10.  0.],[308 227 333 355 276 353 225 346]
2+4 (0.13:0.87),6 & 7,3,[ 0. 28.  0.  0. 78.  0.  0. 34.],[70.  0. 60. 60.  0. 20. 10.  0.],[308 227 335 355 237 356 224 360]
2+4 (0.14:0.86),6 & 7,5,[ 0. 28.  0.  0. 77.  2. 11. 34.],[70.  0. 40. 60.  0.  0.  0.  0.],[308 240 398 355 250 353 210 360]
2+4 (0.15:0.85),6 & 7,3,[ 0. 28.  0.  0. 75.  0.  0. 35.],[70.  0. 60. 60.  0. 20. 20.  0.],[308 240 338 355 264 359 239 347]
2+4 (0.16:0.84),6 & 7,3,[ 0. 20.  0.  0. 75.  0.  0. 35.],[70.  0. 60. 60.  0. 30. 20.  0.],[308 240 339 355 264 356 236 347]
2+4 (0.17:0.83),6 & 7,2,[ 0. 12.  0.  0. 77.  0.  0.  0.],[70.  0. 70. 70.  0. 20. 20. 80.],[308 240 337 298 266 359 237 362]
2+4 (0.18:0.82),6 & 7,2,[ 0.  4.  0.  0. 74.  0.  0.  0.],[70.  0. 70. 70.  0. 20. 20. 80.],[308 240 336 298 265 355 239 362]
2+4 (0.19:0.81),6 & 7,2,[ 0.  2.  0.  0. 70.  0.  0.  0.],[70.  0. 70. 70.  0. 30. 20. 80.],[308 240 335 298 292 365 241 222]
2+4 (0.20:0.80),6 & 7,1,[ 0.  0.  0.  0. 57.  0.  0.  0.],[70. 20. 70. 70.  0. 40. 20. 80.],[308 216 336 298 372 373 242 222]
2+4 (0.21:0.79),6 & 7,1,[ 0.  0.  0.  0. 66.  0.  0.  0.],[70. 20. 60. 70.  0. 30. 20. 80.],[308 179 336 296 268 373 242 222]
2+4 (0.22:0.78),6 & 7,1,[ 0.  0.  0.  0. 67.  0.  0.  0.],[70. 30. 70. 70.  0. 60. 20. 80.],[308 163 338 296 268 269 286 222]
2+4 (0.23:0.77),6 & 7,1,[ 0.  0.  0.  0. 66.  0.  0.  0.],[70. 40. 70. 70.  0. 30. 20. 80.],[308 146 338 296 294 379 255 228]
2+4 (0.24:0.76),6 & 7,1,[ 0.  0.  0.  0. 77.  0.  0.  0.],[70. 40. 70. 70.  0. 70. 20. 80.],[308 146 338 296 227 308 254 225]
2+4 (0.25:0.75),6 & 7,1,[ 0.  0.  0.  0. 68.  0.  0.  0.],[70. 40. 70. 70.  0. 80. 20. 80.],[308 150 338 296 294 304 306 224]
2+4 (0.26:0.74),6 & 7,1,[ 0.  0.  0.  0. 84.  0.  0.  0.],[70. 40. 70. 70.  0. 60. 20. 80.],[308 154 338 296 188 249 306 226]
2+4 (0.27:0.73),6 & 7,1,[ 0.  0.  0.  0. 68.  0.  0.  0.],[70. 40. 70. 70.  0. 70. 20. 80.],[308 172 338 302 268 295 298 227]
2+4 (0.28:0.72),6 & 7,2,[ 0. 20.  0.  0. 78.  0.  0.  0.],[70.  0. 70. 70.  0. 60. 20. 80.],[308 258 338 302 267 247 298 227]
2+4 (0.29:0.71),6 & 7,2,[ 0. 52.  0.  0. 77.  0.  0.  0.],[70.  0. 70. 70.  0. 60. 20. 80.],[308 278 338 302 293 253 293 226]
2+4 (0.30:0.70),6 & 7,2,[ 0. 64.  0.  0. 69.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 20. 80.],[308 258 338 302 306 292 305 226]
2+4 (0.31:0.69),6 & 7,2,[ 0. 70.  0.  0. 69.  0.  0.  0.],[70.  0. 70. 70.  0. 30. 20. 80.],[308 247 338 297 306 317 313 226]
2+4 (0.32:0.68),6 & 7,2,[ 0. 70.  0.  0. 71.  0.  0.  0.],[70.  0. 70. 70.  0. 80. 10. 80.],[329 247 338 299 306 331 348 230]
2+4 (0.33:0.67),6 & 7,2,[ 0. 70.  0.  0. 79.  0.  0.  0.],[70.  0. 70. 70.  0. 20. 10. 80.],[319 247 338 299 268 334 201 310]
2+4 (0.34:0.66),6 & 7,2,[ 0. 70.  0.  0. 71.  0.  0.  0.],[70.  0. 70. 70.  0. 30. 10. 80.],[332 247 338 312 306 314 201 329]
2+4 (0.35:0.65),6 & 7,2,[ 0. 70.  0.  0. 71.  0.  0.  0.],[70.  0. 70. 70.  0. 80. 10. 80.],[332 247 338 321 306 270 201 260]
2+4 (0.36:0.64),6 & 7,2,[ 0. 70.  0.  0. 74.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 80.],[334 247 338 340 294 244 201 260]
2+4 (0.37:0.63),6 & 7,2,[ 0. 70.  0.  0. 73.  0.  0.  0.],[70.  0. 70. 70.  0. 80. 10. 80.],[334 247 338 322 294 229 201 312]
2+4 (0.38:0.62),6 & 7,2,[ 0. 70.  0.  0. 74.  0.  0.  0.],[70.  0. 70. 70.  0. 80. 10. 80.],[334 247 338 332 294 225 201 312]
2+4 (0.39:0.61),6 & 7,2,[ 0. 70.  0.  0. 71.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[365 247 338 324 306 250 202 312]
2+4 (0.40:0.60),6 & 7,2,[ 0. 70.  0.  0. 75.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[365 247 338 326 293 228 202 312]
2+4 (0.41:0.59),6 & 7,2,[ 0. 70.  0.  0. 75.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[365 247 338 323 293 216 202 312]
2+4 (0.42:0.58),6 & 7,2,[ 0. 70.  0.  0. 75.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 80.],[365 247 338 320 293 225 202 312]
2+4 (0.43:0.57),6 & 7,2,[ 0. 70.  0.  0. 75.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 80.],[365 247 338 368 293 239 202 312]
2+4 (0.44:0.56),6 & 7,2,[ 0. 70.  0.  0. 75.  0.  0.  0.],[70.  0. 40. 60.  0. 80. 10. 80.],[365 247 338 426 268 239 202 328]
2+4 (0.45:0.55),6 & 7,2,[ 0. 70.  0.  0. 66.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[365 247 338 383 306 229 202 344]
2+4 (0.46:0.54),6 & 7,2,[ 0. 70.  0.  0. 71.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[365 247 338 319 293 163 202 344]
2+4 (0.47:0.53),6 & 7,2,[ 0. 70.  0.  0. 71.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[375 247 338 319 293 163 202 344]
2+4 (0.48:0.52),6 & 7,2,[ 0. 70.  0.  0. 71.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[375 247 338 319 293 163 202 344]
2+4 (0.49:0.51),6 & 7,2,[ 0. 72.  0.  0. 64.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[375 247 338 319 306 163 202 344]
2+4 (0.50:0.50),6 & 7,2,[ 0. 72.  0.  0. 61.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[375 247 338 319 306 163 202 344]
2+4 (0.51:0.49),6 & 7,2,[ 0. 72.  0.  0. 61.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[375 247 340 319 306 163 202 344]
2+4 (0.52:0.48),6 & 7,2,[ 0. 72.  0.  0. 61.  0.  0.  0.],[70.  0. 20. 70.  0. 70. 10. 80.],[375 247 457 319 306 163 202 344]
2+4 (0.53:0.47),6 & 7,2,[ 0. 78.  0.  0. 61.  0.  0.  0.],[70.  0. 30. 70.  0. 70. 10. 80.],[375 237 508 319 306 163 202 344]
2+4 (0.54:0.46),6 & 7,2,[ 0. 78.  0.  0. 61.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[375 237 453 319 306 163 202 328]
2+4 (0.55:0.45),6 & 7,3,[ 0. 78. 16.  0. 61.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 10. 80.],[375 237 509 319 306 163 201 315]
2+4 (0.56:0.44),6 & 7,2,[ 0. 78.  0.  0. 61.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 10. 80.],[375 237 528 319 306 163 201 315]
2+4 (0.57:0.43),6 & 7,3,[ 0. 78. 42.  0. 59.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 237 486 319 346 163 199 315]
2+4 (0.58:0.42),6 & 7,3,[ 0. 72. 36.  0. 59.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 278 486 319 346 163 199 315]
2+4 (0.59:0.41),6 & 7,3,[ 0. 72. 30.  0. 63.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 278 486 319 346 163 199 315]
2+4 (0.60:0.40),6 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 20. 80.],[375 278 528 319 346 163 199 315]
2+4 (0.61:0.39),6 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 20. 70.  0. 70. 20. 80.],[375 278 531 319 346 163 199 315]
2+4 (0.62:0.38),6 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 20. 70.  0. 70. 20. 80.],[375 278 531 320 346 163 199 315]
2+4 (0.63:0.37),6 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 30. 70.  0. 70. 20. 80.],[375 278 508 320 346 163 199 315]
2+4 (0.64:0.36),6 & 7,2,[ 0. 72.  0.  0. 72.  0.  0.  0.],[70.  0. 20. 70.  0. 70. 20. 80.],[375 278 511 321 293 163 199 315]
2+4 (0.65:0.35),6 & 7,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 30. 80.  0. 70. 20. 80.],[375 278 511 312 346 163 199 315]
2+4 (0.66:0.34),6 & 7,3,[ 0. 72. 38.  0. 75.  0.  0.  0.],[70.  0.  0. 80.  0. 70. 20. 80.],[375 278 486 312 268 163 262 273]
2+4 (0.67:0.33),6 & 7,2,[ 0. 72.  0.  0. 75.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 20. 80.],[375 278 529 323 268 163 308 273]
2+4 (0.68:0.32),6 & 7,3,[ 0. 72. 10.  0. 72.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 278 509 323 294 163 308 260]
2+4 (0.69:0.31),6 & 7,2,[ 0. 72.  0.  0. 64.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 20. 80.],[375 278 463 323 346 163 308 260]
2+4 (0.70:0.30),6 & 7,3,[ 0. 72.  6.  0. 69.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 278 486 323 345 163 308 260]
2+4 (0.71:0.29),6 & 7,3,[ 0. 72. 32.  0. 69.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 278 474 323 294 163 307 260]
2+4 (0.72:0.28),6 & 7,3,[ 0. 72. 38.  0. 66.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 278 474 323 346 163 307 260]
2+4 (0.73:0.27),6 & 7,2,[ 0. 72.  0.  0. 67.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 20. 80.],[375 278 459 323 294 163 307 260]
2+4 (0.74:0.26),6 & 7,2,[ 0. 72.  0.  0. 69.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 20. 80.],[375 278 453 323 346 163 308 260]
2+4 (0.75:0.25),6 & 7,3,[ 0. 72. 30.  0. 74.  0.  0.  0.],[70.  0.  0. 80.  0. 70. 20. 80.],[375 278 474 314 294 163 308 260]
2+4 (0.76:0.24),6 & 7,3,[ 0. 72. 30.  0. 73.  0.  0.  0.],[70.  0.  0. 80.  0. 70. 20. 80.],[375 278 474 328 294 163 308 260]
2+4 (0.77:0.23),6 & 7,4,[ 0. 72. 30. 14. 65.  0.  0.  0.],[70.  0.  0.  0.  0. 60. 20. 80.],[ 375  278  474 1029  294  291  308  260]
2+4 (0.78:0.22),6 & 7,3,[ 0. 72. 30.  0. 68.  0.  0.  0.],[70.  0.  0. 20.  0. 60. 20. 80.],[375 278 474 783 346 262 308 260]
2+4 (0.79:0.21),6 & 7,3,[ 0. 72. 30.  0. 66.  0.  0.  0.],[70.  0.  0. 30.  0. 50. 20. 80.],[375 278 474 886 346 257 308 260]
2+4 (0.80:0.20),6 & 7,4,[ 0. 72. 30. 27. 65.  0.  0.  0.],[70.  0.  0.  0.  0. 60. 20. 80.],[375 278 474 860 372 242 308 260]
2+4 (0.81:0.19),6 & 7,4,[ 0. 72. 30. 31. 60.  0.  0.  0.],[70.  0.  0.  0.  0. 50. 20. 80.],[365 278 474 821 372 335 308 260]
2+4 (0.82:0.18),6 & 7,4,[ 0. 72. 30. 40. 62.  0.  0.  0.],[70.  0.  0.  0.  0. 40. 20. 80.],[365 278 474 691 346 362 306 295]
2+4 (0.83:0.17),6 & 7,4,[ 0. 72. 30. 41. 66.  0.  0.  0.],[70.  0.  0.  0.  0. 50. 20. 80.],[365 278 474 691 294 455 306 295]
2+4 (0.84:0.16),6 & 7,3,[ 0. 72. 30.  0. 69.  0.  0.  0.],[70.  0.  0. 30.  0. 70. 20. 80.],[365 278 474 873 294 295 305 295]
2+4 (0.85:0.15),6 & 7,4,[ 0. 72. 30. 42. 69.  0.  0.  0.],[70.  0.  0.  0.  0. 60. 20. 80.],[365 278 474 691 294 306 305 295]
2+4 (0.86:0.14),6 & 7,4,[ 0. 72. 30. 36. 69.  0.  0.  0.],[70.  0.  0.  0.  0. 70. 20. 80.],[365 278 474 821 294 296 305 295]
2+4 (0.87:0.13),6 & 7,4,[ 0. 72. 30. 42. 69.  0.  0.  0.],[70.  0.  0.  0.  0. 60. 30. 80.],[365 278 474 821 294 280 206 295]
2+4 (0.88:0.12),6 & 7,5,[ 0. 72. 30. 12. 71.  0.  0. 57.],[70.  0.  0.  0.  0. 60. 30.  0.],[365 278 474 899 294 416 206 344]
2+4 (0.89:0.11),6 & 7,5,[ 0. 72. 30. 29. 71.  0.  0. 33.],[70.  0.  0.  0.  0. 70. 30.  0.],[365 278 474 808 294 435 205 525]
2+4 (0.90:0.10),6 & 7,4,[ 0. 72. 30.  0. 63.  0.  0. 33.],[70.  0.  0. 10.  0. 60. 30.  0.],[365 278 474 755 346 246 205 525]
2+4 (0.91:0.09),6 & 7,5,[ 0. 72. 30.  8. 66.  0.  0. 24.],[70.  0.  0.  0.  0. 50. 30.  0.],[365 278 474 860 294 257 205 576]
2+4 (0.92:0.08),6 & 7,4,[ 0. 70. 30.  0. 66.  0.  0. 25.],[70.  0.  0. 20.  0. 50. 10.  0.],[365 258 474 778 294 228 204 576]
2+4 (0.93:0.07),6 & 7,4,[ 0. 70. 30.  0. 66.  0.  0. 25.],[70.  0.  0. 40.  0. 50. 10.  0.],[365 258 474 677 294 228 204 576]
2+4 (0.94:0.06),6 & 7,4,[ 0. 70. 30.  0. 66.  0.  0. 23.],[70.  0.  0. 70.  0. 30. 10.  0.],[365 258 474 548 294 375 204 652]
2+4 (0.95:0.05),6 & 7,4,[ 0. 70. 30.  0. 66.  0.  0. 21.],[70.  0.  0. 50.  0. 60. 10.  0.],[365 258 474 606 294 293 204 652]
2+4 (0.96:0.04),6 & 7,5,[ 0. 70. 30.  0. 66.  0. 91. 33.],[70.  0.  0. 20.  0. 50.  0.  0.],[365 258 474 798 294 332 150 602]
2+4 (0.97:0.03),6 & 7,5,[ 0. 64. 30.  0. 66.  0. 91. 59.],[70.  0.  0. 40.  0. 50.  0.  0.],[365 258 474 775 294 324 150 331]
2+4 (0.98:0.02),6 & 7,5,[ 0. 68. 30.  0. 66.  0. 91. 59.],[70.  0.  0. 70.  0. 50.  0.  0.],[365 258 474 773 294 363 150 331]
2+4 (0.99:0.01),6 & 7,6,[ 0. 82. 30. 15. 66.  0. 91. 59.],[70.  0.  0.  0.  0. 50.  0.  0.],[365 237 474 860 294 387 150 331]
2+5 (0.01:0.99),6 & 6,3,[ 0. 14.  0.  0. 62.  0.  0.  0.],[70.  0. 50. 60.  0. 60.  0. 20.],[308 169 338 309 250 233 249 430]
2+5 (0.02:0.98),6 & 6,3,[ 0.  0.  0.  0. 63.  0.  3. 11.],[70. 40. 50. 60.  0. 80.  0.  0.],[308 145 338 312 266 166 249 404]
2+5 (0.03:0.97),6 & 6,1,[ 0.  0.  0.  0. 66.  0.  0.  0.],[70. 40. 70. 60.  0. 50. 10. 80.],[308 151 338 312 267 240 282 222]
2+5 (0.04:0.96),6 & 6,2,[ 0. 42.  0.  0. 66.  0.  0.  0.],[70.  0. 70. 60.  0. 50. 10. 80.],[308 288 338 312 267 247 285 222]
2+5 (0.05:0.95),6 & 6,2,[ 0. 72.  0.  0. 65.  0.  0.  0.],[70.  0. 70. 60.  0. 50. 70. 80.],[308 288 338 314 268 242 306 222]
2+5 (0.06:0.94),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 10. 70. 70.  0. 80. 70. 80.],[308 313 338 269 268 201 317 222]
2+5 (0.07:0.93),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 30. 70.  0. 80. 70. 80.],[308 316 338 269 268 202 317 222]
2+5 (0.08:0.92),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 60. 70.  0. 80. 70. 80.],[308 320 338 269 268 202 316 222]
2+5 (0.09:0.91),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 60. 70.  0. 80. 70. 80.],[308 323 338 269 268 203 318 222]
2+5 (0.10:0.90),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 60. 70.  0. 70. 70. 80.],[308 323 338 269 268 182 318 222]
2+5 (0.11:0.89),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 10. 60. 70.  0. 70. 70. 80.],[308 324 338 269 268 172 318 222]
2+5 (0.12:0.88),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 10. 60. 70.  0. 70. 70. 80.],[308 326 338 269 268 163 318 222]
2+5 (0.13:0.87),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 10. 60. 70.  0. 70. 70. 80.],[308 326 338 269 268 163 318 222]
2+5 (0.14:0.86),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 10. 60. 70.  0. 70. 70. 80.],[308 326 338 269 268 163 318 222]
2+5 (0.15:0.85),6 & 6,2,[ 0. 72.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.16:0.84),6 & 6,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.17:0.83),6 & 6,2,[ 0. 78.  0.  0. 61.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.18:0.82),6 & 6,2,[ 0. 78.  0.  0. 61.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.19:0.81),6 & 6,2,[ 0. 70.  0.  0. 61.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.20:0.80),6 & 6,2,[ 0. 70.  0.  0. 61.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.21:0.79),6 & 6,2,[ 0. 70.  0.  0. 61.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.22:0.78),6 & 6,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.23:0.77),6 & 6,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.24:0.76),6 & 6,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 278 338 269 268 163 318 222]
2+5 (0.25:0.75),6 & 6,2,[ 0. 68.  0.  0. 62.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2+5 (0.26:0.74),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 60. 70.  0. 70. 60. 80.],[308 323 338 269 268 163 313 222]
2+5 (0.27:0.73),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 30. 60. 70.  0. 70. 60. 80.],[308 319 338 269 268 163 313 222]
2+5 (0.28:0.72),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 30. 60. 70.  0. 70. 60. 80.],[308 308 338 269 268 163 313 222]
2+5 (0.29:0.71),6 & 6,1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 60. 80.],[308 305 338 269 268 163 313 222]
2+5 (0.30:0.70),6 & 6,1,[ 0.  0.  0.  0. 62.  0.  0.  0.],[70. 10. 60. 70.  0. 70. 60. 80.],[308 308 338 269 268 163 313 222]
2+5 (0.31:0.69),6 & 6,1,[ 0.  0.  0.  0. 62.  0.  0.  0.],[70. 20. 60. 70.  0. 70. 60. 80.],[308 314 338 269 268 163 313 222]
2+5 (0.32:0.68),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 10. 60. 70.  0. 70. 60. 80.],[308 311 338 269 268 163 313 222]
2+5 (0.33:0.67),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 30. 80.],[308 299 338 269 268 163 317 223]
2+5 (0.34:0.66),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 30. 80.],[308 299 338 269 268 163 317 229]
2+5 (0.35:0.65),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 30. 80.],[308 299 338 269 268 163 317 229]
2+5 (0.36:0.64),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 30. 80.],[308 299 338 269 268 163 317 229]
2+5 (0.37:0.63),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 30. 80.],[308 299 338 269 268 163 317 228]
2+5 (0.38:0.62),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 30. 80.],[308 299 338 269 268 163 317 222]
2+5 (0.39:0.61),6 & 6,1,[ 0.  0.  0.  0. 61.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 10. 80.],[308 299 338 269 268 163 316 223]
2+5 (0.40:0.60),6 & 6,1,[ 0.  0.  0.  0. 63.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 10. 80.],[308 299 338 269 268 163 316 223]
